ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;28;28;20210309;27.99;28;45000;0;0;45000;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;25.88
ACHIKO N;CH0522213468;ACHI;52221346;0.325;0.338;0.323;20210309;0.335;0.336;445868;0;0;445868;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.71;1.72;1.665;20210309;1.68;1.68;32373;0;0;32373;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;168;168;168;20210309;168;168;1;0;0;1;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;173.28
AEVIS N;CH0478634105;AEVS;47863410;12.25;12.5;12.25;20210309;12.4;12.4;5502;0;0;5502;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.31
AIRESIS N;CH0010947627;AIRE;1094762;0.755;0.8;0.73;20210309;0.8;0.76;24720;0;0;24720;CHF;20200313;1.09;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;185.8;188;185.4;20210309;186.8;188;26830;0;2280;29110;CHF;20200313;207.5;20200323;159.8;20000303;;XSWX;RS;CH;0;195.02
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.5;14.6;14.4;20210309;14.4;14.4;8431;0;0;8431;CHF;20210309;14.6;20200319;11.4;20040902;;XSWX;RS;CH;0;13.81
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.3;;;20210217;14.2;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.8
