ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;;;20210309;28;;0;0;0;0;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;26.4
ACHIKO N;CH0522213468;ACHI;52221346;0.31;0.313;0.305;20210318;0.316;0.306;231982;0;0;231982;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.7;1.7;1.66;20210318;1.71;1.7;37493;0;0;37493;CHF;20200810;2.95;20200326;1.005;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;173;173;173;20210318;173;173;80;0;0;80;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;174.99
AEVIS N;CH0478634105;AEVS;47863410;12.9;12.9;12.8;20210318;12.85;12.85;1062;0;0;1062;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.3
AIRESIS N;CH0010947627;AIRE;1094762;0.765;0.79;0.765;20210318;0.765;0.79;1520;0;0;1520;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;189.8;192;189.6;20210318;190;192;36637;0;14162;50799;CHF;20201109;207;20200323;159.8;20000303;;XSWX;RS;CH;0;193.94
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.6;;;20210317;14.6;;0;0;0;0;CHF;20210316;14.7;20200525;12.1;20040902;;XSWX;RS;CH;0;13.88
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.5;;;20210217;14.4;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.89
ALSO N;CH0024590272;ALSN;2459027;270;270.5;266;20210318;264.5;267.5;9862;0;705;10567;CHF;20210311;278.5;20200323;125.4;20060323;;XSWX;RS;CH;0;252.11
ALUFLEXPACK N;CH0453226893;AFP;45322689;37.8;37.8;36.3;20210318;37.6;37.5;11779;0;3970;15749;CHF;20210208;42.2;20200320;12.7;20190628;;XSWX;RS;CH;0;37.03
APG SGA N;CH0019107025;APGN;1910702;226;226;214;20210318;212.5;214;3283;0;33;3316;CHF;20210318;226;20200403;158.2;20040818;;XSWX;RS;CH;0;200.04
ARBONIA N;CH0110240600;ARBN;11024060;16.52;16.52;16.2;20210318;16.28;16.2;44167;0;2391;46558;CHF;20210315;17;20200323;6.22;20100422;;XSWX;RS;CH;0;15.2
Arundel N;CH0002271010;ARON;227101;2.6;2.6;2.6;20210318;2.4;2.6;1866;0;0;1866;CHF;20200828;4;20200331;1.52;20050729;;XSWX;RS;CH;0;2.5
ARYZTA N;CH0043238366;ARYN;4323836;1.071;1.129;1.051;20210318;1.12;1.127;14247263;0;927316;15174579;CHF;20210318;1.129;20200416;0.281;20180924;;XSWX;RS;CH;775000;0.85
ASCOM N;CH0011339204;ASCN;1133920;15.3;15.3;14.82;20210318;14.96;14.92;78667;0;7619;86286;CHF;20210202;15.76;20200323;4.37;20001108;;XSWX;RS;CH;0;14.38
ASMALLWORLD N;CH0404880129;ASWN;40488012;3.21;3.24;3.2;20210318;3.18;3.2;4274;0;0;4274;CHF;20201230;4.88;20200526;1.3;20180320;;XSWX;RS;CH;0;3.48
AUTONEUM N;CH0127480363;AUTN;12748036;195.9;201;192.9;20210318;196.5;196.6;30550;0;757;31307;CHF;20210318;201;20200323;51.1;20110513;;XSWX;RS;CH;0;168.89
BACHEM N -B-;CH0012530207;BANB;1253020;378;378;368;20210318;366.5;370.5;12120;0;2846;14966;CHF;20201005;418;20200323;158.6;20010629;;XSWX;RS;CH;0;368.39
BALOISE N;CH0012410517;BALN;1241051;159.5;160.4;158.4;20210318;158.8;159.6;89205;0;16996;106201;CHF;20210308;168.8;20200323;105.7;20180924;;XSWX;RS;CH;0;157.65
BANQUE PROFIL DE GESTION N;CH0473243506;BPDG;47324350;1.85;1.85;1.8;20210318;1.74;1.8;1000;0;0;1000;CHF;20201118;2.72;20200414;1.16;20190517;;XSWX;RS;CH;0;1.94
BARRY CALLEBAUT N;CH0009002962;BARN;900296;2054;2070;2026;20210318;2048;2050;7361;0;152;7513;CHF;20201230;2124;20200323;1721;19980615;;XSWX;RS;CH;0;2031.78
BASELLAND KB PS;CH0001473559;BLKB;147355;906;910;902;20210318;902;908;385;0;7;392;CHF;20210104;946;20200326;850;19960802;;XSWX;PC;CH;0;927.52
