ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ACHIKO N;CH0522213468;ACHI;52221346;0.263;0.278;0.255;20210329;0.276;0.275;1026113;0;49364;1075477;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.34
ADDEX N;CH0029850754;ADXN;2985075;1.68;1.695;1.65;20210329;1.68;1.66;36437;0;0;36437;CHF;20200810;2.95;20200402;1.025;20070522;;XSWX;RS;CH;0;1.89
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;175;;;20210326;175;;0;0;0;0;CHF;20210115;189;20201103;125;19980604;;XSWX;RS;CH;0;176.04
AEVIS N;CH0478634105;AEVS;47863410;13.7;13.7;13.5;20210329;13.7;13.7;5181;26750;0;31931;CHF;20210325;14;20200715;10.2;20190607;;XSWX;RS;CH;0;12.62
AIRESIS N;CH0010947627;AIRE;1094762;0.75;0.75;0.75;20210329;0.79;0.75;1573;0;0;1573;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.78
ALLREAL N;CH0008837566;ALLN;883756;191;193;190.8;20210329;191.8;191.6;22804;1200;199;24203;CHF;20201109;207;20200514;170.4;20000303;;XSWX;RS;CH;0;193.41
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.7;14.7;14.7;20210329;14.6;14.7;50;0;0;50;CHF;20210329;14.7;20200525;12.1;20040902;;XSWX;RS;CH;0;13.92
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.7;;;20210217;14.7;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.91
ALSO N;CH0024590272;ALSN;2459027;266.5;270.5;266.5;20210329;270;269;5987;0;161;6148;CHF;20210311;278.5;20200401;150;20060323;;XSWX;RS;CH;0;253.74
