ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;27.37;27.52;27.17;20210304;27.12;27.35;750000;0;0;750000;CHF;20210304;27.52;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;25.7
ACHIKO N;CH0522213468;ACHI;52221346;0.328;0.328;0.316;20210304;0.329;0.326;309438;0;0;309438;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.72;1.78;1.69;20210304;1.755;1.755;97136;0;0;97136;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.93
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;168;168;168;20210304;173;168;1;0;0;1;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;171.68
AEVIS N;CH0478634105;AEVS;47863410;12.3;12.3;12.25;20210304;12.3;12.3;890;0;0;890;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.31
AIRESIS N;CH0010947627;AIRE;1094762;0.8;0.8;0.8;20210304;0.8;0.8;10001;0;0;10001;CHF;20200309;1.14;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;186.8;186.8;184.6;20210304;185;185;20751;0;753;21504;CHF;20200306;220;20200323;159.8;20000303;;XSWX;RS;CH;0;195.19
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.3;14.3;14.3;20210304;14.2;14.3;215;0;0;215;CHF;20210304;14.3;20200319;11.4;20040902;;XSWX;RS;CH;0;13.78
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.1;;;20210217;14.1;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.77
ALSO N;CH0024590272;ALSN;2459027;263.5;265;259;20210304;254.5;259.5;19823;10000;781;30604;CHF;20210304;265;20200319;123;20060323;;XSWX;RS;CH;0;247.79
ALUFLEXPACK N;CH0453226893;AFP;45322689;36.1;36.5;35.1;20210304;36.3;36.1;10549;2020;2876;15445;CHF;20210208;42.2;20200318;11.3;20190628;;XSWX;RS;CH;0;36.47
APG SGA N;CH0019107025;APGN;1910702;185;187;182.4;20210304;182;184.8;521;0;27;548;CHF;20200306;245.5;20200316;155.2;20040818;;XSWX;RS;CH;0;191.05
