ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;29.31;29.31;28.82;20210322;29.2;29;5570247;1312000;312158;7194405;CHF;20210322;29.31;20200324;15.325;20201207;;XSWX;RS;CH;0;26.83
ADECCO N;CH0012138605;ADEN;1213860;63.38;63.5;61.98;20210322;62.74;62.54;485742;0;8022;493764;CHF;20210310;64.5;20200324;32.38;20201207;;XSWX;RS;CH;0;59.34
ALCON N;CH0432492467;ALC;43249246;63.66;63.84;62.92;20210322;63.34;63;1053884;0;187818;1241702;CHF;20210204;69.1;20200324;40.31;20201207;;XSWX;RS;CH;0;63.56
AMS;AT0000A18XM4;AMS;24924656;19.415;19.415;18.83;20210322;18.905;18.995;1574675;0;277235;1851910;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;224000;21.15
CLARIANT N;CH0012142631;CLN;1214263;18.8;18.815;18.46;20210322;18.705;18.66;680034;0;91722;771756;CHF;20200702;20.49;20200324;14.63;20201207;;XSWX;RS;CH;0;19.23
CS GROUP N;CH0012138530;CSGN;1213853;12.125;12.22;11.96;20210322;12.17;12.025;11069646;232000;490322;11791968;CHF;20210225;13.5;20200324;6.98;20201207;;XSWX;RS;CH;205800;12.32
GEBERIT N;CH0030170408;GEBN;3017040;580.6;580.6;570.8;20210322;576.2;572.4;84869;0;3706;88575;CHF;20210114;600.6;20200406;397.2;20201207;;XSWX;RS;CH;0;562.14
GIVAUDAN N;CH0010645932;GIVN;1064593;3559;3569;3508;20210322;3517;3511;19846;0;1279;21125;CHF;20200921;4099;20200327;2833;20201207;;XSWX;RS;CH;0;3596.51
JULIUS BAER N;CH0102484968;BAER;10248496;61.04;61.24;59.68;20210322;60.3;60.1;571883;0;75456;647339;CHF;20210322;61.24;20200324;29.9;20201207;;XSWX;RS;CH;0;55.58
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;270.8;273.1;267.3;20210322;267.3;267.7;155474;4887;8836;169197;CHF;20210322;273.1;20200324;122.7;20201207;;XSWX;RS;CH;0;219.86
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;52.74;52.9;52.34;20210322;52.86;52.62;1513480;29000;149138;1691618;CHF;20210315;54.74;20200324;31.12;20201207;;XSWX;RS;CH;205000;51.14
