ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.56;28.78;28.51;20210331;28.52;28.57;3989305;0;259268;4248573;CHF;20210326;29.49;20200402;16.145;20201207;;XSWX;RS;CH;9014;27.19
ADECCO N;CH0012138605;ADEN;1213860;63.64;65.08;63.64;20210331;64.64;64.6;538111;0;16780;554891;CHF;20210331;65.08;20200403;35.05;20201207;;XSWX;RS;CH;2028;59.69
ALCON N;CH0432492467;ALC;43249246;66.18;66.98;66.08;20210331;66.6;66.98;788054;0;68742;856796;CHF;20210204;69.1;20200402;46.36;20201207;;XSWX;RS;CH;2465;64.32
AMS;AT0000A18XM4;AMS;24924656;18.84;18.84;18.425;20210331;18.52;18.55;1467102;0;92470;1559572;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;20.99
CLARIANT N;CH0012142631;CLN;1214263;19.06;19.41;19.05;20210331;19.335;19.34;785324;0;18284;803608;CHF;20200702;20.49;20201030;15.115;20201207;;XSWX;RS;CH;0;19.27
CS GROUP N;CH0012138530;CSGN;1213853;9.902;10.365;9.902;20210331;10.415;10.3;34849385;601750;2516485;37967620;CHF;20210225;13.5;20200514;7.152;20201207;;XSWX;RS;CH;86898;12
GEBERIT N;CH0030170408;GEBN;3017040;601.6;610.2;600.2;20210331;605;605.2;96179;1000;4895;102074;CHF;20210331;610.2;20200406;397.2;20201207;;XSWX;RS;CH;182;565.64
GIVAUDAN N;CH0010645932;GIVN;1064593;3642;3689;3603;20210331;3618;3635;26947;875;2026;29848;CHF;20200921;4099;20200402;2878;20201207;;XSWX;RS;CH;39;3586.11
JULIUS BAER N;CH0102484968;BAER;10248496;60.44;61.66;60.4;20210331;61.32;61.18;568945;0;46614;615559;CHF;20210326;62.04;20200402;30.12;20201207;;XSWX;RS;CH;0;56.47
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;269.7;273.5;269.4;20210331;271.9;273.2;205850;0;15138;220988;CHF;20210325;275.7;20200514;129.65;20201207;;XSWX;RS;CH;0;227.45
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;55.54;56.28;55.5;20210331;56.06;56.2;1441030;100000;46222;1587252;CHF;20210331;56.28;20200403;33.75;20201207;;XSWX;RS;CH;7065;51.71
LOGITECH N;CH0025751329;LOGN;2575132;99.14;99.44;96.9;20210331;96.84;97.5;674802;15200;33584;723586;CHF;20210216;107.35;20200403;40.9;20201207;;XSWX;RS;CH;0;94.63
