ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;29.29;29.49;28.95;20210323;29.31;29.21;5906944;1442000;204459;7553403;CHF;20210323;29.49;20200401;16.135;20201207;;XSWX;RS;CH;27486;26.89
ADECCO N;CH0012138605;ADEN;1213860;62.86;63.56;62.6;20210323;63.38;63.38;415005;0;27416;442421;CHF;20210310;64.5;20200403;35.05;20201207;;XSWX;RS;CH;0;59.39
ALCON N;CH0432492467;ALC;43249246;64.68;64.92;63.64;20210323;63.66;63.72;1046457;61920;77313;1185690;CHF;20210204;69.1;20200325;44.18;20201207;;XSWX;RS;CH;7548;63.63
AMS;AT0000A18XM4;AMS;24924656;18.39;19.485;18.315;20210323;19.415;19.385;4265680;149715;659792;5075187;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.1
CLARIANT N;CH0012142631;CLN;1214263;18.765;18.82;18.55;20210323;18.8;18.78;773920;129000;40943;943863;CHF;20200702;20.49;20201030;15.115;20201207;;XSWX;RS;CH;0;19.24
CS GROUP N;CH0012138530;CSGN;1213853;12.17;12.285;12.03;20210323;12.125;12.07;8874020;556000;419649;9849669;CHF;20210225;13.5;20200514;7.152;20201207;;XSWX;RS;CH;33090;12.34
GEBERIT N;CH0030170408;GEBN;3017040;585.4;587.6;578.4;20210323;580.6;580.4;99379;0;3119;102498;CHF;20210114;600.6;20200406;397.2;20201207;;XSWX;RS;CH;558;562.71
GIVAUDAN N;CH0010645932;GIVN;1064593;3631;3648;3567;20210323;3559;3567;23261;1151;1887;26299;CHF;20200921;4099;20200327;2833;20201207;;XSWX;RS;CH;120;3596.04
JULIUS BAER N;CH0102484968;BAER;10248496;60.98;61.5;60.56;20210323;61.04;61.08;321444;684;43420;365548;CHF;20210323;61.5;20200402;30.12;20201207;;XSWX;RS;CH;0;55.73
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;268.1;273.6;267.5;20210323;270.8;270.4;195040;0;23439;218479;CHF;20210323;273.6;20200330;128.15;20201207;;XSWX;RS;CH;0;220.95
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;52.74;53.08;52.46;20210323;52.74;52.54;1753370;64500;223542;2041412;CHF;20210315;54.74;20200330;32.55;20201207;;XSWX;RS;CH;7824;51.2
LOGITECH N;CH0025751329;LOGN;2575132;98.92;100.15;97;20210323;96.9;97;988484;42044;53037;1083565;CHF;20210216;107.35;20200327;38.5;20201207;;XSWX;RS;CH;0;93.94
LONZA N;CH0013841017;LONN;1384101;559;563.2;551.4;20210323;552.2;553;164826;0;12195;177021;CHF;20201117;637.8;20200325;359.5;20201207;;XSWX;RS;CH;1122;575.46
NESTLE N;CH0038863350;NESN;3886335;104.48;104.64;102.64;20210323;102.78;102.92;4544762;4034;192165;4740961;CHF;20200730;112.62;20200325;93.96;20201207;;XSWX;RS;CH;30258;100.65
NOVARTIS N;CH0012005267;NOVN;1200526;80.94;81.27;80.2;20210323;80;80.4;4537296;237469;416165;5190930;CHF;20200428;89.34;20201029;70.42;20201207;;XSWX;RS;CH;36972;81.41
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1174.5;1176;1157;20210323;1169.5;1168.5;61283;6600;6969;74852;CHF;20210323;1176;20200402;640.4;20201207;;XSWX;RS;CH;342;1090.99
RICHEMONT N;CH0210483332;CFR;21048333;91.5;92.68;90.8;20210323;92;91.52;1324110;90151;118837;1533098;CHF;20210322;93.1;20200403;49.5;20201207;;XSWX;RS;CH;7854;86.02
ROCHE GS;CH0012032048;ROG;1203204;309.35;312;307.45;20210323;314.8;312;1515080;153775;120213;1789068;CHF;20200428;357.85;20200325;284.25;20201207;;XSWX;GC;CH;9876;308.72
SCHINDLER PS;CH0024638196;SCHP;2463819;269;271;268;20210323;269.9;269.7;72930;0;19390;92320;CHF;20210315;271.8;20200325;199.2;20201207;;XSWX;PC;CH;0;248.22
SGS N;CH0002497458;SGSN;249745;2753;2753;2712;20210323;2721;2725;15345;2875;546;18766;CHF;20210216;2781;20200514;2055;20201207;;XSWX;RS;CH;90;2703.99
SIKA N;CH0418792922;SIKA;41879292;264.4;265.5;262;20210323;261.8;262.1;256799;0;24677;281476;CHF;20210311;266;20200402;150.1;20201207;;XSWX;RS;CH;2136;251.3
SONOVA N;CH0012549785;SOON;1254978;252.6;255.7;243.2;20210323;243.5;243.5;193401;0;31523;224924;CHF;20210323;255.7;20200326;154.0232;20201207;;XSWX;RS;CH;0;231.17
STRAUMANN N;CH0012280076;STMN;1228007;1127;1130.5;1116.5;20210323;1125.5;1124;31197;0;8013;39210;CHF;20210217;1182;20200515;634;20201207;;XSWX;RS;CH;0;1073.24
SWATCH GROUP I;CH0012255151;UHR;1225515;269.8;275.9;269.6;20210323;276.4;275.6;193377;46500;14428;254305;CHF;20210315;286.6;20200515;168.05;20201207;;XSWX;BS;CH;444;261.97
SWISS LIFE HOLDING AG N;CH0014852781;SLHN;1485278;454.6;455.7;448.7;20210323;453.2;452.2;110818;13418;4171;128407;CHF;20210302;470.2;20200514;296.7;20201207;;XSWX;RS;CH;486;436.8
SWISS RE N;CH0126881561;SREN;12688156;91.88;92.12;90.84;20210323;91.36;91.4;878876;274585;45256;1198717;CHF;20210315;92.58;20200514;58.52;20201207;;XSWX;RS;CH;4368;85.38
SWISSCOM N;CH0008742519;SCMN;874251;502;502;489.5;20210323;490.8;491.3;205651;43795;32113;281559;CHF;20200407;548;20210226;456.3;20201207;;XSWX;RS;CH;384;478.08
TEMENOS N;CH0012453913;TEMN;1245391;138.7;138.9;133.35;20210323;134.5;133.35;204627;0;15977;220604;CHF;20200715;164.5;20201103;96.42;20201207;;XSWX;RS;CH;0;120.11
UBS GROUP N;CH0244767585;UBSG;24476758;14.81;15.005;14.775;20210323;14.82;14.885;10296830;393;603639;10900862;CHF;20210318;15.15;20200402;8.578;20201207;;XSWX;RS;CH;53454;13.84
ZURICH INSURANCE N;CH0011075394;ZURN;1107539;398.5;400;393.5;20210323;395;394.9;333098;5400;21386;359884;CHF;20210323;400;20200514;271.1;20201207;;XSWX;RS;CH;2256;380.07

Produced at: 23:45:01 2021-03-23
