ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.52;28.68;28.24;20210330;28.44;28.56;3989009;16250;261487;4266746;CHF;20210326;29.49;20200401;16.135;20201207;;XSWX;RS;CH;0;27.14
ADECCO N;CH0012138605;ADEN;1213860;64.64;64.96;63.68;20210330;63.36;63.68;455866;0;61408;517274;CHF;20210330;64.96;20200403;35.05;20201207;;XSWX;RS;CH;676;59.63
ALCON N;CH0432492467;ALC;43249246;66.6;66.8;65.1;20210330;65.06;65.98;910614;23575;52177;986366;CHF;20210204;69.1;20200402;46.36;20201207;;XSWX;RS;CH;0;64.15
AMS;AT0000A18XM4;AMS;24924656;18.52;18.74;18.375;20210330;18.695;18.63;1559140;0;98410;1657550;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21
CLARIANT N;CH0012142631;CLN;1214263;19.335;19.335;19.045;20210330;19.015;19.045;809486;0;21911;831397;CHF;20200702;20.49;20201030;15.115;20201207;;XSWX;RS;CH;0;19.26
CS GROUP N;CH0012138530;CSGN;1213853;10.415;10.955;10.265;20210330;10.745;10.695;41293774;1527750;2375034;45196558;CHF;20210225;13.5;20200514;7.152;20201207;;XSWX;RS;CH;60372;12.11
GEBERIT N;CH0030170408;GEBN;3017040;605;605;599.2;20210330;600;602;84601;0;8848;93449;CHF;20210330;605;20200406;397.2;20201207;;XSWX;RS;CH;0;565.05
GIVAUDAN N;CH0010645932;GIVN;1064593;3618;3628;3589;20210330;3611;3610;12941;0;1431;14372;CHF;20200921;4099;20200401;2871;20201207;;XSWX;RS;CH;0;3586.99
JULIUS BAER N;CH0102484968;BAER;10248496;61.32;61.76;60.94;20210330;60.88;61.26;439272;0;87383;526655;CHF;20210326;62.04;20200402;30.12;20201207;;XSWX;RS;CH;5040;56.31
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;271.9;272.9;266.4;20210330;267.8;268;133459;0;5448;138907;CHF;20210325;275.7;20200514;129.65;20201207;;XSWX;RS;CH;0;225.99
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;56.06;56.16;55.5;20210330;55.12;55.52;1833468;0;120952;1954420;CHF;20210330;56.16;20200403;33.75;20201207;;XSWX;RS;CH;1504;51.63
LOGITECH N;CH0025751329;LOGN;2575132;96.84;97.7;95.74;20210330;96.02;95.74;511457;0;27142;538599;CHF;20210216;107.35;20200401;40.65;20201207;;XSWX;RS;CH;0;94.48
LONZA N;CH0013841017;LONN;1384101;528.6;542.6;528.6;20210330;544.2;540.2;259580;0;10215;269795;CHF;20201117;637.8;20200401;386.1;20201207;;XSWX;RS;CH;0;573.73
NESTLE N;CH0038863350;NESN;3886335;105.94;106;105.28;20210330;105.22;105.4;3478179;2678;187704;3668561;CHF;20200730;112.62;20210226;95;20201207;;XSWX;RS;CH;0;100.7
NOVARTIS N;CH0012005267;NOVN;1200526;81.86;82.37;81.47;20210330;82.38;82.23;2853034;225300;127293;3205627;CHF;20200428;89.34;20201029;70.42;20201207;;XSWX;RS;CH;5764;81.31
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1220.5;1231;1206;20210330;1200;1208;45164;121;1636;46921;CHF;20210330;1231;20200402;640.4;20201207;;XSWX;RS;CH;510;1106.77
RICHEMONT N;CH0210483332;CFR;21048333;92.58;92.9;90.42;20210330;90.38;90.42;1079218;87000;43575;1209793;CHF;20210322;93.1;20200403;49.5;20201207;;XSWX;RS;CH;0;86.68
ROCHE GS;CH0012032048;ROG;1203204;303.85;305.55;303;20210330;304.5;304.75;934652;288158;85666;1308476;CHF;20200428;357.85;20201030;290.55;20201207;;XSWX;GC;CH;840;308.46
SCHINDLER PS;CH0024638196;SCHP;2463819;280.8;281.1;276.4;20210330;277.5;277.8;106099;0;5603;111702;CHF;20210330;281.1;20200402;204.2;20201207;;XSWX;PC;CH;0;250.85
SGS N;CH0002497458;SGSN;249745;2720;2731;2691;20210330;2704;2719;14528;0;1562;16090;CHF;20210216;2781;20200514;2055;20201207;;XSWX;RS;CH;0;2707.04
SIKA N;CH0418792922;SIKA;41879292;268.6;269;264.9;20210330;266.1;265.5;193152;7954;17313;218419;CHF;20210330;269;20200402;150.1;20201207;;XSWX;RS;CH;0;252.57
SONOVA N;CH0012549785;SOON;1254978;251.9;255.2;251.6;20210330;254.6;254.9;132848;2950;12929;148727;CHF;20210329;257.1;20200403;155.0166;20201207;;XSWX;RS;CH;0;232.53
STRAUMANN N;CH0012280076;STMN;1228007;1153;1162;1127.5;20210330;1117.5;1129;36468;0;2759;39227;CHF;20210217;1182;20200515;634;20201207;;XSWX;RS;CH;0;1080.4
SWATCH GROUP I;CH0012255151;UHR;1225515;278;278.7;272.5;20210330;269.2;273.1;188148;260;18318;206726;CHF;20210315;286.6;20200515;168.05;20201207;;XSWX;BS;CH;0;263.75
SWISS LIFE HOLDING AG N;CH0014852781;SLHN;1485278;470.2;472.5;466.8;20210330;465.9;467.9;111252;7537;2076;120865;CHF;20210330;472.5;20200514;296.7;20201207;;XSWX;RS;CH;0;440.57
SWISS RE N;CH0126881561;SREN;12688156;94.56;94.9;93.7;20210330;94.24;94.42;1051425;2750;64993;1119168;CHF;20210329;94.96;20200514;58.52;20201207;;XSWX;RS;CH;0;86.13
