ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.4;28.66;28.34;20210315;28.46;28.46;3699512;967500;384581;5051593;CHF;20210311;28.67;20200317;14.43;20201207;;XSWX;RS;CH;0;26.28
ADECCO N;CH0012138605;ADEN;1213860;63.36;63.96;63.24;20210315;63.46;63.4;306607;165850;26216;498673;CHF;20210310;64.5;20200317;30.5;20201207;;XSWX;RS;CH;0;58.93
ALCON N;CH0432492467;ALC;43249246;63.52;63.96;63.5;20210315;63.8;63.8;744933;2000;95190;842123;CHF;20210204;69.1;20200323;38.625;20201207;;XSWX;RS;CH;0;62.91
AMS;AT0000A18XM4;AMS;24924656;19.21;19.355;18.765;20210315;18.67;18.795;1902296;0;149228;2051524;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.12
CLARIANT N;CH0012142631;CLN;1214263;19.49;19.995;19.43;20210315;19.835;19.85;638863;0;29742;668605;CHF;20200702;20.49;20200323;14;20201207;;XSWX;RS;CH;0;19.16
CS GROUP N;CH0012138530;CSGN;1213853;11.955;12.115;11.895;20210315;12.08;12;10172738;799400;1403891;12376029;CHF;20210225;13.5;20200317;6.18;20201207;;XSWX;RS;CH;0;12.24
GEBERIT N;CH0030170408;GEBN;3017040;577.4;584.2;575.6;20210315;579;581.8;68765;23682;4563;97010;CHF;20210114;600.6;20200317;378.6;20201207;;XSWX;RS;CH;0;557.85
GIVAUDAN N;CH0010645932;GIVN;1064593;3527;3550;3517;20210315;3520;3520;11986;0;464;12450;CHF;20200921;4099;20200317;2662;20201207;;XSWX;RS;CH;0;3610.3
JULIUS BAER N;CH0102484968;BAER;10248496;58;59;57.88;20210315;58.88;58.74;433326;107395;88720;629441;CHF;20210310;59.6;20200317;24.32;20201207;;XSWX;RS;CH;0;54.57
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;251.8;255;251.7;20210315;251.3;252.4;114811;0;3135;117946;CHF;20210315;255;20200323;119.5;20201207;;XSWX;RS;CH;0;212.49
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;53.6;54.74;53.4;20210315;54.36;54.5;1515106;34278;188231;1737615;CHF;20210315;54.74;20200317;28.3;20201207;;XSWX;RS;CH;0;50.53
LOGITECH N;CH0025751329;LOGN;2575132;92.28;93.22;91.12;20210315;91.44;91.12;690578;12160;28705;731443;CHF;20210216;107.35;20200317;32.34;20201207;;XSWX;RS;CH;0;92.97
LONZA N;CH0013841017;LONN;1384101;544;548.6;541.2;20210315;546;544.8;131064;0;11058;142122;CHF;20201117;637.8;20200318;308.5;20201207;;XSWX;RS;CH;0;575.8
NESTLE N;CH0038863350;NESN;3886335;100.36;100.62;99.8;20210315;100;100.2;3340082;51250;378163;3769495;CHF;20200730;112.62;20200317;88.11;20201207;;XSWX;RS;CH;0;100.58
NOVARTIS N;CH0012005267;NOVN;1200526;78.45;78.66;77.8;20210315;77.86;78;3680954;3357665;174742;7213361;CHF;20200428;89.34;20200317;67.48;20201207;;XSWX;RS;CH;0;81.45
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1114.5;1129;1114.5;20210315;1122;1127;34703;0;990;35693;CHF;20210304;1151.5;20200318;525;20201207;;XSWX;RS;CH;0;1066.57
RICHEMONT N;CH0210483332;CFR;21048333;90.1;92.06;89.84;20210315;91.42;91.64;1033068;0;64512;1097580;CHF;20210315;92.06;20200317;47.4;20201207;;XSWX;RS;CH;0;84.4
ROCHE GS;CH0012032048;ROG;1203204;310.8;310.8;305.5;20210315;304.5;305.5;1097021;38300;74072;1209393;CHF;20200428;357.85;20200318;273.7;20201207;;XSWX;GC;CH;0;308.48
SCHINDLER PS;CH0024638196;SCHP;2463819;268.6;271.8;268.3;20210315;269.8;269;57577;0;2263;59840;CHF;20210315;271.8;20200319;196;20201207;;XSWX;PC;CH;0;245.04
SGS N;CH0002497458;SGSN;249745;2736;2757;2730;20210315;2731;2731;13870;3000;1054;17924;CHF;20210216;2781;20200317;1932;20201207;;XSWX;RS;CH;0;2693.86
SIKA N;CH0418792922;SIKA;41879292;262.1;264.9;261.5;20210315;263.1;263.9;166273;0;25138;191411;CHF;20210311;266;20200318;129.65;20201207;;XSWX;RS;CH;0;248
SONOVA N;CH0012549785;SOON;1254978;243.5;245.3;237.2;20210315;235.6;237.2;156822;0;15094;171916;CHF;20201109;249.4;20200318;140.0662;20201207;;XSWX;RS;CH;0;228.79
STRAUMANN N;CH0012280076;STMN;1228007;1105;1119.5;1102.5;20210315;1108;1108;20330;1278;1547;23155;CHF;20210217;1182;20200319;547.2;20201207;;XSWX;RS;CH;0;1064.86
