ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
VAUDOISE ASSU N;CH0021545667;VAHN;2154566;469;470;465;20210326;466;466;915;0;0;915;CHF;20200907;500;20200403;421;20050627;;XSWX;RS;CH;0;463.49
VETROPACK N;CH0530235594;VETN;53023559;61.2;62;61.2;20210326;61.8;61.9;12688;0;113;12801;CHF;20210121;64.9;20200330;45.7;20200504;;XSWX;RS;CH;0;59.77
VIFOR N;CH0364749348;VIFN;36474934;126.85;128.25;125.4;20210326;126.75;125.95;157450;293;16929;174672;CHF;20200512;157.25;20201029;99.68;20200921;;XSWX;RS;CH;0;123.03
VILLARS N;CH0002609656;VILN;260965;710;710;710;20210326;710;710;11;0;0;11;CHF;20201218;780;20200402;705;19960802;;XSWX;RS;CH;0;733.31
VON ROLL I;CH0003245351;ROL;324535;0.82;0.822;0.806;20210326;0.81;0.818;43556;0;0;43556;CHF;20200608;0.92;20200420;0.53;19960802;;XSWX;BS;CH;0;0.77
VONTOBEL N;CH0012335540;VONN;1233554;71;72.3;71;20210326;71.15;71.3;41646;0;1271;42917;CHF;20210205;78;20200403;43.52;20010611;;XSWX;RS;CH;0;72.41
VZ HOLDING N;CH0528751586;VZN;52875158;78;78.4;77.4;20210326;78.3;78.4;2575;0;887;3462;CHF;20200812;88;20200330;60.5;20200421;;XSWX;RS;CH;0;77.8
WALLISER KB N;CH0305951201;WKBN;30595120;105;105;104;20210326;104.5;105;954;0;0;954;CHF;20200603;112;20200714;99.6;20160118;;XSWX;RS;CH;0;103.49
WARTECK N;CH0002619481;WARN;261948;2300;2300;2280;20210326;2300;2280;8;0;0;8;CHF;20210104;2380;20200402;1940;19960802;;XSWX;RS;CH;0;2293.46
WISeKey N;CH0314029270;WIHN;31402927;2.96;3.23;2.55;20210326;3;2.76;3459913;0;106;3460019;CHF;20210326;3.23;20200515;0.75;20160331;;XSWX;RS;CH;0;1.8
YPSOMED HLDG;CH0019396990;YPSN;1939699;161.2;162.8;161;20210326;161.8;161.8;2786;0;1765;4551;CHF;20210326;162.8;20201030;112.4;20040922;;XSWX;RS;CH;0;152.83
ZEHNDER N;CH0276534614;ZEHN;27653461;78.5;80.5;78.1;20210326;78.1;78.1;38285;0;1465;39750;CHF;20210326;80.5;20200401;33.5;20150427;;XSWX;RS;CH;0;68.44
ZEHNDER N 2.LINIE;CH1104095307;ZEHNE;110409530;79;80.1;78.8;20210326;78.3;78.8;2000;0;0;2000;CHF;20210326;80.1;20210324;74.9;20210324;20240322;XSWX;RS;CH;0;77.7
ZUEBLIN IMM N;CH0312309682;ZUBN;31230968;26.4;26.4;26;20210326;26.4;26.4;50;0;0;50;CHF;20200417;31;20210129;25;20160304;;XSWX;RS;CH;0;25.64
ZUG ESTATES HOLDING AG;CH0148052126;ZUGN;14805212;1965;1980;1945;20210326;1975;1980;50;0;0;50;CHF;20201217;2050;20200402;1825;20120702;;XSWX;RS;CH;0;1947.53
ZUGER KB N;CH0493891243;ZUGER;49389124;6780;6820;6760;20210326;6880;6820;50;0;0;50;CHF;20210325;6880;20200330;6020;20200108;;XSWX;RS;CH;0;6536.88
ZUR ROSE GROUP N;CH0042615283;ROSE;4261528;351;354.5;338;20210326;339;339;54346;3200;4429;61975;CHF;20210215;514;20200401;117.4;20170706;;XSWX;RS;CH;0;400.8
ZWAHLEN I;CH0002661731;ZWM;266173;204;204;204;20210326;204;204;4;0;0;4;CHF;20200331;220;20200729;133;19960802;;XSWX;BS;CH;0;193.77

Produced at: 23:45:02 2021-03-26
