ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;;;20210309;28;;0;0;0;0;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;26.54
ACHIKO N;CH0522213468;ACHI;52221346;0.29;0.314;0.29;20210324;0.302;0.302;510339;0;0;510339;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.64;1.69;1.62;20210324;1.64;1.64;64621;0;0;64621;CHF;20200810;2.95;20200326;1.005;20070522;;XSWX;RS;CH;0;1.9
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;168;168;168;20210324;168;168;2;0;0;2;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;175.38
AEVIS N;CH0478634105;AEVS;47863410;13.5;13.6;13.3;20210324;13.6;13.6;3106;0;0;3106;CHF;20200427;13.65;20200715;10.2;20190607;;XSWX;RS;CH;0;12.36
AIRESIS N;CH0010947627;AIRE;1094762;0.785;0.785;0.74;20210324;0.75;0.74;841;0;0;841;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;194.6;195.6;192.4;20210324;192.4;192.6;37977;0;862;38839;CHF;20201109;207;20200326;164.2;20000303;;XSWX;RS;CH;0;193.73
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.6;14.6;14.6;20210324;14.6;14.6;900;0;0;900;CHF;20210316;14.7;20200525;12.1;20040902;;XSWX;RS;CH;0;13.89
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.7;;;20210217;14.6;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.89
ALSO N;CH0024590272;ALSN;2459027;268;271;265.5;20210324;269;269.5;12146;0;200;12346;CHF;20210311;278.5;20200327;146.4;20060323;;XSWX;RS;CH;0;253.31
ALUFLEXPACK N;CH0453226893;AFP;45322689;35.3;35.8;35.3;20210324;35.8;35.5;1419;0;0;1419;CHF;20210208;42.2;20200417;17.7;20190628;;XSWX;RS;CH;0;37.23
