ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.64;29.04;28.56;20210316;28.4;28.76;5005319;52316;236560;5294195;CHF;20210316;29.04;20200323;14.67;20201207;;XSWX;RS;CH;0;26.36
ADECCO N;CH0012138605;ADEN;1213860;63;63.68;62.82;20210316;63.36;63.64;445320;0;26862;472182;CHF;20210310;64.5;20200319;30.74;20201207;;XSWX;RS;CH;0;58.99
ALCON N;CH0432492467;ALC;43249246;63.88;64.68;63.64;20210316;63.52;63.96;762191;2000;88771;852962;CHF;20210204;69.1;20200323;38.625;20201207;;XSWX;RS;CH;0;63.02
AMS;AT0000A18XM4;AMS;24924656;19.465;19.59;19.21;20210316;19.21;19.445;2013471;117891;130427;2261789;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;4047;21.12
CLARIANT N;CH0012142631;CLN;1214263;19.39;19.63;19.325;20210316;19.49;19.56;790553;0;19553;810106;CHF;20200702;20.49;20200323;14;20201207;;XSWX;RS;CH;0;19.18
CS GROUP N;CH0012138530;CSGN;1213853;11.92;12.24;11.91;20210316;11.955;12.185;12911403;100000;1254889;14266292;CHF;20210225;13.5;20200318;6.284;20201207;;XSWX;RS;CH;0;12.25
GEBERIT N;CH0030170408;GEBN;3017040;582.4;585.6;579.2;20210316;577.4;581.4;71114;2320;8154;81588;CHF;20210114;600.6;20200318;379.2;20201207;;XSWX;RS;CH;0;558.78
GIVAUDAN N;CH0010645932;GIVN;1064593;3564;3581;3525;20210316;3527;3528;15158;3494;365;19017;CHF;20200921;4099;20200318;2732;20201207;;XSWX;RS;CH;0;3609.53
JULIUS BAER N;CH0102484968;BAER;10248496;59.18;59.62;58.42;20210316;58;58.42;425598;0;50169;475767;CHF;20210316;59.62;20200318;24.35;20201207;;XSWX;RS;CH;0;54.7
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;257;258.7;253;20210316;251.8;253;161904;745;11724;174373;CHF;20210316;258.7;20200323;119.5;20201207;;XSWX;RS;CH;0;213.4
