ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.41;28.45;28.05;20210310;28.34;28.22;4556207;0;320625;4876832;CHF;20210310;28.45;20200316;14.11;20201207;;XSWX;RS;CH;4625;26.09
ADECCO N;CH0012138605;ADEN;1213860;63.66;64.5;63.16;20210310;64.46;64.16;602659;0;86075;688734;CHF;20210310;64.5;20200317;30.5;20201207;;XSWX;RS;CH;390;58.66
ALCON N;CH0432492467;ALC;43249246;64.3;64.48;63.5;20210310;64.3;63.8;547712;2500;33490;583702;CHF;20210204;69.1;20200323;38.625;20201207;;XSWX;RS;CH;1235;62.63
AMS;AT0000A18XM4;AMS;24924656;18.87;19.88;18.805;20210310;19.78;19.75;3482343;20000;748839;4251182;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.1
CLARIANT N;CH0012142631;CLN;1214263;20.09;20.15;19.905;20210310;20.03;20.01;677690;0;74888;752578;CHF;20200702;20.49;20200323;14;20201207;;XSWX;RS;CH;500;19.08
CS GROUP N;CH0012138530;CSGN;1213853;12.905;13.26;12.775;20210310;12.98;13.06;11732101;85000;478297;12295398;CHF;20210225;13.5;20200317;6.18;20201207;;XSWX;RS;CH;6140;12.21
GEBERIT N;CH0030170408;GEBN;3017040;568.8;573.2;555.4;20210310;575;571;144077;0;18301;162378;CHF;20210114;600.6;20200316;361.4;20201207;;XSWX;RS;CH;95;555.55
GIVAUDAN N;CH0010645932;GIVN;1064593;3537;3568;3476;20210310;3493;3496;21894;443;1190;23527;CHF;20200921;4099;20200316;2505;20201207;;XSWX;RS;CH;25;3612.94
JULIUS BAER N;CH0102484968;BAER;10248496;58.9;59.6;58.44;20210310;59;58.92;606006;550;77795;684351;CHF;20210310;59.6;20200317;24.32;20201207;;XSWX;RS;CH;560;54.22
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;248.1;250.6;246.4;20210310;248.3;248.3;173345;2750;7408;183503;CHF;20210310;250.6;20200316;119.25;20201207;;XSWX;RS;CH;135;210.19
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;53.7;53.74;52.98;20210310;53.68;53.5;1386605;0;141794;1528399;CHF;20210309;54.06;20200317;28.3;20201207;;XSWX;RS;CH;1315;50.21
LOGITECH N;CH0025751329;LOGN;2575132;89.8;91.6;88.84;20210310;89.86;90.46;1050582;7668;65041;1123291;CHF;20210216;107.35;20200316;28.67;20201207;;XSWX;RS;CH;410;92.37
LONZA N;CH0013841017;LONN;1384101;544;547.8;538;20210310;545;546.2;169982;1672;12069;183723;CHF;20201117;637.8;20200316;301;20201207;;XSWX;RS;CH;185;575.02
NESTLE N;CH0038863350;NESN;3886335;100.56;101.04;99.7;20210310;100.38;100.2;3741618;1135158;561083;5437859;CHF;20200730;112.62;20200316;83.37;20201207;;XSWX;RS;CH;7225;100.56
NOVARTIS N;CH0012005267;NOVN;1200526;78.32;78.5;76.86;20210310;78.2;77.21;4187389;182699;497081;4867169;CHF;20200428;89.34;20200316;65.09;20201207;;XSWX;RS;CH;5570;81.53
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1113;1118.5;1095.5;20210310;1103;1101.5;28678;0;607;29285;CHF;20210304;1151.5;20200318;525;20201207;;XSWX;RS;CH;45;1059.88
RICHEMONT N;CH0210483332;CFR;21048333;89.26;90;88.92;20210310;89.36;89.12;793821;17982;53569;865372;CHF;20210303;91.32;20200316;44.64;20201207;;XSWX;RS;CH;1310;83.62
ROCHE GS;CH0012032048;ROG;1203204;312.85;314.1;305.75;20210310;306;306;1437861;37475;100499;1575835;CHF;20200428;357.85;20200316;265.75;20201207;;XSWX;GC;CH;1760;308.29
SCHINDLER PS;CH0024638196;SCHP;2463819;265.5;266.5;258.9;20210310;260.8;261;122077;0;6087;128164;CHF;20210310;266.5;20200316;185.2;20201207;;XSWX;PC;CH;100;244.17
