ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;;;20210309;28;;0;0;0;0;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;26.34
ACHIKO N;CH0522213468;ACHI;52221346;0.314;0.317;0.31;20210316;0.311;0.311;316616;0;0;316616;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.69;1.705;1.655;20210316;1.705;1.705;26321;0;0;26321;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;171;;;20210315;171;;0;0;0;0;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;174.53
AEVIS N;CH0478634105;AEVS;47863410;12.75;12.75;12.5;20210316;12.5;12.5;26247;0;0;26247;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.33
AIRESIS N;CH0010947627;AIRE;1094762;0.79;0.8;0.78;20210316;0.8;0.8;14237;0;0;14237;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;189.6;191.4;186;20210316;187.2;186;57542;0;750;58292;CHF;20201109;207;20200323;159.8;20000303;;XSWX;RS;CH;0;194.33
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.7;14.7;14.7;20210316;14.6;14.7;3174;0;0;3174;CHF;20210316;14.7;20200319;11.4;20040902;;XSWX;RS;CH;0;13.87
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.4;;;20210217;14.4;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.86
