ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;28;;;20210309;28;;0;0;0;0;CHF;20210309;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;26.38
ACHIKO N;CH0522213468;ACHI;52221346;0.316;0.316;0.31;20210317;0.314;0.312;207485;0;0;207485;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.71;1.71;1.65;20210317;1.69;1.69;20193;0;0;20193;CHF;20200810;2.95;20200326;1.005;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;173;173;173;20210317;171;173;2;0;0;2;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;174.68
AEVIS N;CH0478634105;AEVS;47863410;12.85;12.85;12.7;20210317;12.75;12.8;1703;0;0;1703;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.33
AIRESIS N;CH0010947627;AIRE;1094762;0.765;0.765;0.765;20210317;0.79;0.765;2143;0;0;2143;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;190;190.2;187.6;20210317;189.6;188.4;35248;0;1643;36891;CHF;20201109;207;20200323;159.8;20000303;;XSWX;RS;CH;0;194.15
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.6;14.6;14.6;20210317;14.7;14.6;136;0;0;136;CHF;20210316;14.7;20200319;11.4;20040902;;XSWX;RS;CH;0;13.88
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.4;;;20210217;14.4;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.89
ALSO N;CH0024590272;ALSN;2459027;264.5;271.5;264.5;20210317;271;269;9255;0;579;9834;CHF;20210311;278.5;20200319;123;20060323;;XSWX;RS;CH;0;251.64
ALUFLEXPACK N;CH0453226893;AFP;45322689;37.6;37.6;36.5;20210317;36.7;36.5;5095;0;80;5175;CHF;20210208;42.2;20200319;11.5;20190628;;XSWX;RS;CH;0;36.89
APG SGA N;CH0019107025;APGN;1910702;212.5;221.5;209;20210317;207.5;210.5;33521;0;1667;35188;CHF;20210317;221.5;20200403;158.2;20040818;;XSWX;RS;CH;0;199.06
ARBONIA N;CH0110240600;ARBN;11024060;16.28;16.8;16.06;20210317;16.34;16.8;54688;0;1532;56220;CHF;20210315;17;20200323;6.22;20100422;;XSWX;RS;CH;0;15.16
Arundel N;CH0002271010;ARON;227101;2.4;2.6;2.4;20210317;2.56;2.58;9604;0;0;9604;CHF;20200828;4;20200331;1.52;20050729;;XSWX;RS;CH;0;2.5
ARYZTA N;CH0043238366;ARYN;4323836;1.12;1.127;1.091;20210317;1.103;1.115;17070289;0;2933896;20004185;CHF;20210317;1.127;20200416;0.281;20180924;;XSWX;RS;CH;0;0.83
ASCOM N;CH0011339204;ASCN;1133920;14.96;15.16;14.8;20210317;15.18;15.06;65417;0;1766;67183;CHF;20210202;15.76;20200323;4.37;20001108;;XSWX;RS;CH;0;14.34
ASMALLWORLD N;CH0404880129;ASWN;40488012;3.18;3.23;3.11;20210317;3.15;3.11;12150;0;0;12150;CHF;20201230;4.88;20200526;1.3;20180320;;XSWX;RS;CH;0;3.44
AUTONEUM N;CH0127480363;AUTN;12748036;196.5;197.5;191.3;20210317;191;191.3;16431;2458;1903;20792;CHF;20210317;197.5;20200319;50;20110513;;XSWX;RS;CH;0;167.52
