ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;27.99;28;27.44;20210308;27.17;27.49;607500;0;0;607500;CHF;20210308;28;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;25.85
ACHIKO N;CH0522213468;ACHI;52221346;0.335;0.344;0.322;20210308;0.315;0.33;489908;0;0;489908;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.68;1.7;1.62;20210308;1.67;1.7;44686;0;114;44800;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.92
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;168;;;20210305;168;;0;0;0;0;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;172.8
AEVIS N;CH0478634105;AEVS;47863410;12.4;12.4;12.25;20210308;12.35;12.35;4414;0;0;4414;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.31
AIRESIS N;CH0010947627;AIRE;1094762;0.8;0.8;0.76;20210308;0.76;0.8;45172;0;0;45172;CHF;20200313;1.09;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;186.8;187.8;185.2;20210308;185;185.2;24321;0;2979;27300;CHF;20200310;215.5;20200323;159.8;20000303;;XSWX;RS;CH;0;195.06
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.4;;;20210305;14.4;;0;0;0;0;CHF;20210305;14.4;20200319;11.4;20040902;;XSWX;RS;CH;0;13.79
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.2;;;20210217;14.1;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.79
