ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N 2. LINIE;CH0357679619;ABBNE;35767961;27.12;27.52;26.99;20210303;27.17;27.33;750000;0;0;750000;CHF;20210303;27.52;20201030;22.01;20200723;20210324;XSWX;RS;CH;0;25.64
ACHIKO N;CH0522213468;ACHI;52221346;0.329;0.33;0.32;20210303;0.325;0.325;198651;0;0;198651;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.755;1.795;1.7;20210303;1.72;1.73;83580;0;0;83580;CHF;20200810;2.95;20200318;0.95;20070522;;XSWX;RS;CH;0;1.93
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;173;173;173;20210303;173;173;6;0;0;6;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;170
AEVIS N;CH0478634105;AEVS;47863410;12.3;12.3;11.95;20210303;11.9;11.95;6293;0;575;6868;CHF;20200427;13.65;20200320;9;20190607;;XSWX;RS;CH;0;12.31
AIRESIS N;CH0010947627;AIRE;1094762;0.8;0.8;0.8;20210303;0.76;0.8;5170;0;0;5170;CHF;20200309;1.14;20210208;0.71;20000717;;XSWX;RS;CH;0;0.79
ALLREAL N;CH0008837566;ALLN;883756;185;188.8;184.2;20210303;185.2;187;43369;0;4272;47641;CHF;20200305;223.5;20200323;159.8;20000303;;XSWX;RS;CH;0;195.16
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.2;14.3;14.2;20210303;14.3;14.3;2150;0;0;2150;CHF;20210303;14.3;20200319;11.4;20040902;;XSWX;RS;CH;0;13.77
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.1;;;20210217;14.1;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.75
ALSO N;CH0024590272;ALSN;2459027;254.5;261.5;252;20210303;258.5;259;11729;0;2448;14177;CHF;20210203;265;20200319;123;20060323;;XSWX;RS;CH;0;247.25
ALUFLEXPACK N;CH0453226893;AFP;45322689;36.3;38;35.8;20210303;37.5;37.7;14886;14674;2710;32270;CHF;20210208;42.2;20200318;11.3;20190628;;XSWX;RS;CH;0;36.45
APG SGA N;CH0019107025;APGN;1910702;182;184.8;179.8;20210303;183;184.8;884;0;43;927;CHF;20200305;254;20200316;155.2;20040818;;XSWX;RS;CH;0;191.31
ARBONIA N;CH0110240600;ARBN;11024060;16.1;16.1;15.86;20210303;15.86;15.88;270049;0;6460;276509;CHF;20210303;16.1;20200316;5.75;20100422;;XSWX;RS;CH;0;14.41
Arundel N;CH0002271010;ARON;227101;2.6;2.6;2.6;20210303;2.6;2.6;350;0;0;350;CHF;20200828;4;20200331;1.52;20050729;;XSWX;RS;CH;0;2.49
ARYZTA N;CH0043238366;ARYN;4323836;0.7915;0.8235;0.786;20210303;0.797;0.7975;2654612;0;1752;2656364;CHF;20200916;0.875;20200416;0.281;20180924;;XSWX;RS;CH;0;0.75
ASCOM N;CH0011339204;ASCN;1133920;14.86;15.54;14.6;20210303;15.22;15.3;104802;0;39754;144556;CHF;20210202;15.76;20200323;4.37;20001108;;XSWX;RS;CH;0;14.1
ASMALLWORLD N;CH0404880129;ASWN;40488012;3.12;3.27;3.12;20210303;3.3;3.2;11277;0;0;11277;CHF;20201230;4.88;20200526;1.3;20180320;;XSWX;RS;CH;0;3.11
AUTONEUM N;CH0127480363;AUTN;12748036;160.6;166.2;158.1;20210303;161.8;161.4;12203;0;697;12900;CHF;20210113;175.7;20200319;50;20110513;;XSWX;RS;CH;0;160.9
BACHEM N -B-;CH0012530207;BANB;1253020;342;347;339;20210303;342.5;344;10711;0;1012;11723;CHF;20201005;418;20200309;147;20010629;;XSWX;RS;CH;650;371.22
BALOISE N;CH0012410517;BALN;1241051;164.6;165.8;163.5;20210303;163.8;164.7;99933;4500;2497;106930;CHF;20210303;165.8;20200323;105.7;20180924;;XSWX;RS;CH;0;156.14
BANQUE PROFIL DE GESTION N;CH0473243506;BPDG;47324350;1.83;1.84;1.83;20210303;1.94;1.84;12223;0;0;12223;CHF;20201118;2.72;20200414;1.16;20190517;;XSWX;RS;CH;0;1.99
BARRY CALLEBAUT N;CH0009002962;BARN;900296;2036;2050;2022;20210303;2032;2040;7149;0;64;7213;CHF;20201230;2124;20200316;1626;19980615;;XSWX;RS;CH;0;2023.98
BASELLAND KB PS;CH0001473559;BLKB;147355;924;924;920;20210303;920;920;178;0;0;178;CHF;20210104;946;20200319;846;19960802;;XSWX;PC;CH;0;930.36
BASILEA N;CH0011432447;BSLN;1143244;46.1;46.78;45.5;20210303;46.52;46.78;145280;0;3632;148912;CHF;20210212;61.95;20200316;29.28;20040325;;XSWX;RS;CH;0;51.98
BASLER KB PS;CH0009236461;BSKP;923646;64.6;64.8;64;20210303;64.6;64.6;3038;0;0;3038;CHF;20200528;73.8;20201218;57.2;19980710;;XSWX;PC;CH;0;61.23
BB BIOTECH N;CH0038389992;BION;3838999;86.95;88.6;85.6;20210303;87.55;87.75;123023;15049;3004;141076;CHF;20210209;93.45;20200316;41.78;20080422;;XSWX;RS;CH;0;81.73
BB BIOTECH N 2. LINIE;CH0027659793;BIOEE;2765979;48.8;;;20160311;48.8;;0;0;0;0;CHF;;;;;20061108;20220411;XSWX;RS;CH;0;
