ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ACHIKO N;CH0522213468;ACHI;52221346;0.28;0.295;0.275;20210325;0.29;0.29;1514565;0;0;1514565;CHF;20200820;1.67;20200806;0.165;20200619;;XSWX;RS;CH;0;0.35
ADDEX N;CH0029850754;ADXN;2985075;1.67;1.69;1.62;20210325;1.64;1.64;76487;0;0;76487;CHF;20200810;2.95;20200402;1.025;20070522;;XSWX;RS;CH;0;1.89
ADECCO N 2. LINIE;CH0532347462;ADENE;53234746;31.5;;;;31.5;;0;0;0;0;CHF;;;;;20200326;20230324;XSWX;RS;CH;0;
ADVAL TECH N;CH0008967926;ADVN;896792;171;171;171;20210325;168;171;1;0;0;1;CHF;20210115;189;20200327;120;19980604;;XSWX;RS;CH;0;175.75
AEVIS N;CH0478634105;AEVS;47863410;13.8;14;13.3;20210325;13.5;13.5;7730;0;0;7730;CHF;20210325;14;20200715;10.2;20190607;;XSWX;RS;CH;0;12.4
AIRESIS N;CH0010947627;AIRE;1094762;0.78;0.785;0.78;20210325;0.785;0.785;1081;0;0;1081;CHF;20200901;1.02;20210208;0.71;20000717;;XSWX;RS;CH;0;0.78
ALLREAL N;CH0008837566;ALLN;883756;193;195;192.2;20210325;194.6;195;21890;0;2466;24356;CHF;20201109;207;20200327;167.8;20000303;;XSWX;RS;CH;0;193.66
ALPINE SELECT N;CH0019199550;ALPN;1919955;14.6;14.6;14.6;20210325;14.6;14.6;3550;0;0;3550;CHF;20210316;14.7;20200525;12.1;20040902;;XSWX;RS;CH;0;13.91
ALPINE SELECT N 2. LINIE;CH0550395120;ALPNE;55039512;14.7;;;20210217;14.7;;0;0;0;0;CHF;20210217;14;20200730;12.6;20200626;20220531;XSWX;RS;CH;0;13.89
ALSO N;CH0024590272;ALSN;2459027;266.5;267.5;264.5;20210325;268;267.5;7041;0;569;7610;CHF;20210311;278.5;20200327;146.4;20060323;;XSWX;RS;CH;0;253.45
ALUFLEXPACK N;CH0453226893;AFP;45322689;33.5;35.6;33;20210325;35.3;34.8;13926;0;1185;15111;CHF;20210208;42.2;20200417;17.7;20190628;;XSWX;RS;CH;0;37.18
APG SGA N;CH0019107025;APGN;1910702;213;217;211.5;20210325;217.5;214;1438;0;154;1592;CHF;20210319;232;20200403;158.2;20040818;;XSWX;RS;CH;0;202.52
ARBONIA N;CH0110240600;ARBN;11024060;16.64;16.76;16.38;20210325;16.66;16.62;103334;0;3788;107122;CHF;20210315;17;20200330;6.85;20100422;;XSWX;RS;CH;0;15.38
Arundel N;CH0002271010;ARON;227101;2.46;;;20210324;2.46;;0;0;0;0;CHF;20200828;4;20200331;1.52;20050729;;XSWX;RS;CH;0;2.51
ARYZTA N;CH0043238366;ARYN;4323836;1.046;1.064;1.013;20210325;1.044;1.045;4386137;0;143201;4529338;CHF;20210322;1.13;20200416;0.281;20180924;;XSWX;RS;CH;0;0.88
ASCOM N;CH0011339204;ASCN;1133920;14.74;14.96;14.64;20210325;14.76;14.72;62454;0;836;63290;CHF;20210202;15.76;20200327;4.955;20001108;;XSWX;RS;CH;0;14.52
ASMALLWORLD N;CH0404880129;ASWN;40488012;3.11;3.2;3.11;20210325;3.12;3.2;946;0;0;946;CHF;20201230;4.88;20200526;1.3;20180320;;XSWX;RS;CH;0;3.52
AUTONEUM N;CH0127480363;AUTN;12748036;169.6;181.3;164.4;20210325;182.7;181.3;54233;0;1849;56082;CHF;20210318;201;20200330;54.6;20110513;;XSWX;RS;CH;0;171.02
BACHEM N -B-;CH0012530207;BANB;1253020;391;391.5;387.5;20210325;390.5;388;9650;0;3210;12860;CHF;20201005;418;20200330;183;20010629;;XSWX;RS;CH;0;369.2
BALOISE N;CH0012410517;BALN;1241051;159.4;159.9;158;20210325;159.5;159;65020;0;7924;72944;CHF;20210308;168.8;20201028;120.8;20180924;;XSWX;RS;CH;0;157.86
BANQUE PROFIL DE GESTION N;CH0473243506;BPDG;47324350;1.74;1.75;1.74;20210325;1.84;1.75;7572;0;0;7572;CHF;20201118;2.72;20200414;1.16;20190517;;XSWX;RS;CH;0;1.91
BARRY CALLEBAUT N;CH0009002962;BARN;900296;2122;2134;2088;20210325;2094;2088;6007;0;678;6685;CHF;20210325;2134;20200615;1766;19980615;;XSWX;RS;CH;0;2034.18
BASELLAND KB PS;CH0001473559;BLKB;147355;914;914;908;20210325;912;910;363;0;0;363;CHF;20210104;946;20200408;854;19960802;;XSWX;PC;CH;0;925.68
BASILEA N;CH0011432447;BSLN;1143244;46.94;47.68;46.02;20210325;47.36;47.38;67669;0;1979;69648;CHF;20210212;61.95;20200330;38.8;20040325;;XSWX;RS;CH;0;50.3
BASLER KB PS;CH0009236461;BSKP;923646;63.6;64.6;63.4;20210325;64.6;64.4;5394;0;0;5394;CHF;20200528;73.8;20201218;57.2;19980710;;XSWX;PC;CH;0;62.44
