ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;29.29;29.49;29.18;20210326;28.81;29.34;5397586;458156;283884;6139626;CHF;20210326;29.49;20200401;16.135;20201207;;XSWX;RS;CH;10126;27.04
ADECCO N;CH0012138605;ADEN;1213860;63.48;64.4;63.32;20210326;63.58;63.9;313048;10000;16796;339844;CHF;20210310;64.5;20200403;35.05;20201207;;XSWX;RS;CH;922;59.5
ALCON N;CH0432492467;ALC;43249246;65.24;66.34;64.62;20210326;65.42;65.78;921457;19100;78025;1018582;CHF;20210204;69.1;20200330;45.305;20201207;;XSWX;RS;CH;0;63.89
AMS;AT0000A18XM4;AMS;24924656;18.675;18.84;18.12;20210326;18.455;18.225;2418699;0;161333;2580032;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.02
CLARIANT N;CH0012142631;CLN;1214263;18.975;19.105;18.875;20210326;18.91;18.995;625245;0;23832;649077;CHF;20200702;20.49;20201030;15.115;20201207;;XSWX;RS;CH;3392;19.24
CS GROUP N;CH0012138530;CSGN;1213853;12.47;12.58;12.385;20210326;12.32;12.44;7738857;0;483842;8222699;CHF;20210225;13.5;20200514;7.152;20201207;;XSWX;RS;CH;0;12.36
GEBERIT N;CH0030170408;GEBN;3017040;594.6;597.4;590.6;20210326;589.6;591.8;72134;0;3495;75629;CHF;20210114;600.6;20200406;397.2;20201207;;XSWX;RS;CH;650;564.01
GIVAUDAN N;CH0010645932;GIVN;1064593;3631;3647;3608;20210326;3639;3647;21405;7261;1386;30052;CHF;20200921;4099;20200330;2857;20201207;;XSWX;RS;CH;116;3593.24
JULIUS BAER N;CH0102484968;BAER;10248496;61.44;62.04;61.3;20210326;61.16;61.52;350614;24000;50024;424638;CHF;20210326;62.04;20200402;30.12;20201207;;XSWX;RS;CH;0;56.06
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;266.9;272.6;263.4;20210326;269.6;268.3;247379;0;30585;277964;CHF;20210325;275.7;20200330;128.15;20201207;;XSWX;RS;CH;316;224.23
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;55.02;55.22;54.64;20210326;54.38;54.9;1700200;159235;104325;1963760;CHF;20210326;55.22;20200330;32.55;20201207;;XSWX;RS;CH;9170;51.42
LOGITECH N;CH0025751329;LOGN;2575132;97.5;97.88;95.94;20210326;95.48;96.3;640154;879;63942;704975;CHF;20210216;107.35;20200330;39.28;20201207;;XSWX;RS;CH;0;94.25
LONZA N;CH0013841017;LONN;1384101;548.6;554.2;545.6;20210326;547.4;545.6;122433;750;7447;130630;CHF;20201117;637.8;20200330;380.2;20201207;;XSWX;RS;CH;0;574.94
NESTLE N;CH0038863350;NESN;3886335;104.14;104.4;103.48;20210326;104.5;104.28;4308712;846385;307639;5462736;CHF;20200730;112.62;20210226;95;20201207;;XSWX;RS;CH;0;100.69
NOVARTIS N;CH0012005267;NOVN;1200526;81.88;82.09;81.1;20210326;81.67;81.4;3933130;1483564;537032;5953726;CHF;20200428;89.34;20201029;70.42;20201207;;XSWX;RS;CH;0;81.36
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1220.5;1229.5;1200;20210326;1203;1204.5;49678;8680;1789;60147;CHF;20210326;1229.5;20200402;640.4;20201207;;XSWX;RS;CH;0;1101.44
RICHEMONT N;CH0210483332;CFR;21048333;89.74;90.58;89.48;20210326;89.66;90;755585;57778;55661;869024;CHF;20210322;93.1;20200403;49.5;20201207;;XSWX;RS;CH;3038;86.36
ROCHE GS;CH0012032048;ROG;1203204;303.65;306.7;300.9;20210326;305.6;303.6;1394274;268994;107269;1770537;CHF;20200428;357.85;20201030;290.55;20201207;;XSWX;GC;CH;0;308.58
SCHINDLER PS;CH0024638196;SCHP;2463819;271.7;273;268.2;20210326;268.3;268.9;116412;0;21859;138271;CHF;20210326;273;20200330;202.7;20201207;;XSWX;PC;CH;230;249.59
SGS N;CH0002497458;SGSN;249745;2666;2708;2661;20210326;2693;2705;19624;0;2072;21696;CHF;20210216;2781;20200514;2055;20201207;;XSWX;RS;CH;34;2705.72
SIKA N;CH0418792922;SIKA;41879292;265.5;267.5;264;20210326;262.9;264.8;214638;9075;26868;250581;CHF;20210324;267.8;20200402;150.1;20201207;;XSWX;RS;CH;2350;252.09
SONOVA N;CH0012549785;SOON;1254978;256.2;257.1;254.1;20210326;255.8;256.5;100158;2778;17554;120490;CHF;20210326;257.1;20200403;155.0166;20201207;;XSWX;RS;CH;0;232.03
STRAUMANN N;CH0012280076;STMN;1228007;1130.5;1154;1127.5;20210326;1130.5;1140;31578;0;8844;40422;CHF;20210217;1182;20200515;634;20201207;;XSWX;RS;CH;0;1077.57
SWATCH GROUP I;CH0012255151;UHR;1225515;268.2;272.3;267.8;20210326;270;271.3;141655;9292;8639;159586;CHF;20210315;286.6;20200515;168.05;20201207;;XSWX;BS;CH;170;262.8
SWISS LIFE HOLDING AG N;CH0014852781;SLHN;1485278;465.4;468.9;464;20210326;462.5;464;106447;10909;7300;124656;CHF;20210302;470.2;20200514;296.7;20201207;;XSWX;RS;CH;0;438.61
SWISS RE N;CH0126881561;SREN;12688156;93.72;94.36;93.52;20210326;93.1;93.58;897607;853089;60898;1811594;CHF;20210326;94.36;20200514;58.52;20201207;;XSWX;RS;CH;0;85.75
SWISSCOM N;CH0008742519;SCMN;874251;505.2;506.8;501.2;20210326;502.8;503;165498;82531;19018;267047;CHF;20200407;548;20210226;456.3;20201207;;XSWX;RS;CH;0;479.49
TEMENOS N;CH0012453913;TEMN;1245391;138.75;139.55;137.2;20210326;138.7;139.55;128194;0;7844;136038;CHF;20200715;164.5;20201103;96.42;20201207;;XSWX;RS;CH;0;120.52
UBS GROUP N;CH0244767585;UBSG;24476758;15.125;15.235;15.005;20210326;14.995;15.09;9841185;294000;579642;10714827;CHF;20210326;15.235;20200402;8.578;20201207;;XSWX;RS;CH;0;13.92
ZURICH INSURANCE N;CH0011075394;ZURN;1107539;402.1;404.7;400.9;20210326;400;401;311517;185600;15392;512509;CHF;20210326;404.7;20200514;271.1;20201207;;XSWX;RS;CH;0;381.16

Produced at: 23:45:02 2021-03-26
