ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;28.57;28.62;28.36;20210317;28.64;28.58;3947800;282000;197884;4427684;CHF;20210316;29.04;20200323;14.67;20201207;;XSWX;RS;CH;0;26.43
ADECCO N;CH0012138605;ADEN;1213860;63.1;63.54;62.48;20210317;63;63;393633;0;42806;436439;CHF;20210310;64.5;20200319;30.74;20201207;;XSWX;RS;CH;1512;59.03
ALCON N;CH0432492467;ALC;43249246;63.74;64.34;63.48;20210317;63.88;64;587834;0;67039;654873;CHF;20210204;69.1;20200323;38.625;20201207;;XSWX;RS;CH;0;63.14
AMS;AT0000A18XM4;AMS;24924656;18.95;19.545;18.81;20210317;19.465;19.33;2160897;0;224281;2385178;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.15
CLARIANT N;CH0012142631;CLN;1214263;19.375;19.485;19.31;20210317;19.39;19.31;482142;0;20288;502430;CHF;20200702;20.49;20200323;14;20201207;;XSWX;RS;CH;0;19.19
CS GROUP N;CH0012138530;CSGN;1213853;12.03;12.1;11.8;20210317;11.92;11.83;13305087;609000;852415;14766502;CHF;20210225;13.5;20200323;6.582;20201207;;XSWX;RS;CH;18729;12.26
GEBERIT N;CH0030170408;GEBN;3017040;581.2;583.8;577.8;20210317;582.4;583.8;74966;40000;5138;120104;CHF;20210114;600.6;20200319;386.4;20201207;;XSWX;RS;CH;0;559.56
GIVAUDAN N;CH0010645932;GIVN;1064593;3558;3569;3546;20210317;3564;3568;14237;390;749;15376;CHF;20200921;4099;20200323;2755;20201207;;XSWX;RS;CH;0;3607.84
JULIUS BAER N;CH0102484968;BAER;10248496;58.76;59.44;58.42;20210317;59.18;59.14;343284;0;40065;383349;CHF;20210316;59.62;20200319;24.71;20201207;;XSWX;RS;CH;0;54.81
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;260.5;260.5;255.4;20210317;257;256.1;152330;5250;14057;171637;CHF;20210317;260.5;20200323;119.5;20201207;;XSWX;RS;CH;0;214.31
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;52.88;53.28;52.7;20210317;53.34;52.98;1450276;118000;232390;1800666;CHF;20210315;54.74;20200319;28.73;20201207;;XSWX;RS;CH;3375;50.71
LOGITECH N;CH0025751329;LOGN;2575132;92.06;94.48;90.96;20210317;94.28;94.06;867831;15200;70095;953126;CHF;20210216;107.35;20200319;37.25;20201207;;XSWX;RS;CH;0;93.28
LONZA N;CH0013841017;LONN;1384101;542.4;552.8;538.8;20210317;552;551.8;201358;1009;14805;217172;CHF;20201117;637.8;20200323;322.6;20201207;;XSWX;RS;CH;0;576.52
NESTLE N;CH0038863350;NESN;3886335;101.38;101.44;100.68;20210317;101.16;101.2;3255844;900000;132284;4288128;CHF;20200730;112.62;20200323;91.98;20201207;;XSWX;RS;CH;0;100.58
NOVARTIS N;CH0012005267;NOVN;1200526;79.24;79.69;78.68;20210317;79.58;79.48;3569752;2581153;176312;6327217;CHF;20200428;89.34;20200323;69.92;20201207;;XSWX;RS;CH;12960;81.41
PARTNERS GROUP N;CH0024608827;PGHN;2460882;1128;1149;1126;20210317;1146;1144.5;35533;1014;1361;37908;CHF;20210316;1157;20200323;545.8;20201207;;XSWX;RS;CH;0;1071.06
RICHEMONT N;CH0210483332;CFR;21048333;89.84;90.34;89.4;20210317;90;89.5;800474;26195;110889;937558;CHF;20210315;92.06;20200319;48.43;20201207;;XSWX;RS;CH;0;84.81
ROCHE GS;CH0012032048;ROG;1203204;311;313.2;309.1;20210317;312.3;311.9;1272388;302607;130660;1705655;CHF;20200428;357.85;20200323;277.25;20201207;;XSWX;GC;CH;1881;308.61
SCHINDLER PS;CH0024638196;SCHP;2463819;266;267.4;265.4;20210317;266.7;266.1;71102;12000;2754;85856;CHF;20210315;271.8;20200319;196;20201207;;XSWX;PC;CH;0;246.06
SGS N;CH0002497458;SGSN;249745;2731;2735;2706;20210317;2722;2713;17174;7500;787;25461;CHF;20210216;2781;20200514;2055;20201207;;XSWX;RS;CH;1275;2697.78
SIKA N;CH0418792922;SIKA;41879292;262.9;264;261.6;20210317;263.9;263.8;245409;0;20658;266067;CHF;20210311;266;20200319;133.75;20201207;;XSWX;RS;CH;0;249.1
SONOVA N;CH0012549785;SOON;1254978;245.1;248.4;243.9;20210317;248.2;247.3;158152;3478;13923;175553;CHF;20210316;249.5;20200323;145.1821;20201207;;XSWX;RS;CH;0;229.59
STRAUMANN N;CH0012280076;STMN;1228007;1105;1117;1101;20210317;1114;1113.5;13074;0;700;13774;CHF;20210217;1182;20200319;547.2;20201207;;XSWX;RS;CH;0;1067.06
SWATCH GROUP I;CH0012255151;UHR;1225515;280.3;281.5;278.6;20210317;281.1;281.1;119744;0;4909;124653;CHF;20210315;286.6;20200515;168.05;20201207;;XSWX;BS;CH;0;259.25
SWISS LIFE HOLDING AG N;CH0014852781;SLHN;1485278;451;455.7;450.2;20210317;454.4;453.2;136164;27000;7419;170583;CHF;20210302;470.2;20200323;256.3;20201207;;XSWX;RS;CH;0;432.28
SWISS RE N;CH0126881561;SREN;12688156;90.86;91.62;90.3;20210317;91.46;91.62;755445;80000;57278;892723;CHF;20210315;92.58;20200319;52.68;20201207;;XSWX;RS;CH;0;84.46
SWISSCOM N;CH0008742519;SCMN;874251;485.6;486.1;481.9;20210317;484.1;483;113205;0;3347;116552;CHF;20200407;548;20210226;456.3;20201207;;XSWX;RS;CH;0;476.26
TEMENOS N;CH0012453913;TEMN;1245391;131;133.95;130.9;20210317;132.25;132.25;176783;0;16661;193444;CHF;20200715;164.5;20200323;94.38;20201207;;XSWX;RS;CH;6720;119.54
UBS GROUP N;CH0244767585;UBSG;24476758;14.525;14.55;14.27;20210317;14.3;14.295;12049467;221162;277211;12547840;CHF;20210308;14.795;20200319;7.712;20201207;;XSWX;RS;CH;0;13.6
ZURICH INSURANCE N;CH0011075394;ZURN;1107539;391.3;392.9;388.9;20210317;391.2;391.2;331911;299385;22912;654208;CHF;20210308;399.8;20200319;262.6;20201207;;XSWX;RS;CH;0;377.08

Produced at: 23:45:01 2021-03-17
