ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
ABB LTD N;CH0012221716;ABBN;1222171;27.06;27.31;26.94;20210305;27.41;27.17;6291084;200000;235268;6726352;CHF;20210203;27.52;20200316;14.11;20201207;;XSWX;RS;CH;0;25.9
ADECCO N;CH0012138605;ADEN;1213860;61.86;62.08;60.7;20210305;61.78;61.36;723789;0;118957;842746;CHF;20210305;62.08;20200317;30.5;20201207;;XSWX;RS;CH;0;58.22
ALCON N;CH0432492467;ALC;43249246;62.66;63.12;62.24;20210305;62.96;62.5;907070;0;76520;983590;CHF;20210204;69.1;20200323;38.625;20201207;;XSWX;RS;CH;0;62.34
AMS;AT0000A18XM4;AMS;24924656;19.035;19.56;18.805;20210305;19.165;18.995;2660376;162000;196930;3019306;CHF;20201202;24.83;20200406;7.786;20201207;;XSWX;BS;AT;0;21.08
CLARIANT N;CH0012142631;CLN;1214263;19.59;19.735;19.285;20210305;19.53;19.44;838731;231715;58177;1128623;CHF;20200702;20.49;20200323;14;20201207;;XSWX;RS;CH;0;18.97
CS GROUP N;CH0012138530;CSGN;1213853;12.75;12.985;12.73;20210305;12.97;12.845;9228807;0;1616088;10844895;CHF;20210225;13.5;20200317;6.18;20201207;;XSWX;RS;CH;851236;12.13
GEBERIT N;CH0030170408;GEBN;3017040;555.2;557.8;550;20210305;558.2;554.8;86270;10340;3216;99826;CHF;20210114;600.6;20200316;361.4;20201207;;XSWX;RS;CH;0;553.47
GIVAUDAN N;CH0010645932;GIVN;1064593;3405;3456;3401;20210305;3465;3448;24139;1000;1303;26442;CHF;20200921;4099;20200316;2505;20201207;;XSWX;RS;CH;0;3618.86
JULIUS BAER N;CH0102484968;BAER;10248496;56.06;56.42;55.54;20210305;56.28;56.16;536852;0;66975;603827;CHF;20210303;58.12;20200317;24.32;20201207;;XSWX;RS;CH;0;53.79
KUEHNE+NAGEL INT N;CH0025238863;KNIN;2523886;240;244.2;238.8;20210305;245.5;243.5;237828;0;65025;302853;CHF;20210304;245.5;20200316;119.25;20201207;;XSWX;RS;CH;0;207.74
