Date,Open,High,Low,Close,Adj Close,Volume
1995-04-06,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-07,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-10,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-11,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-12,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-13,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-14,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-17,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-18,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-19,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-20,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-21,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-24,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-25,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-26,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-27,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-04-28,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-01,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-02,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-03,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-04,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-05,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-08,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-09,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-10,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-11,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-12,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-15,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-16,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-17,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-18,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-19,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-22,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-23,27.000000,27.000000,27.000000,27.000000,20.294413,0
1995-05-24,null,null,null,null,null,null
1995-05-25,28.500000,28.500000,28.500000,28.500000,21.421875,0
1995-05-26,null,null,null,null,null,null
1995-05-29,null,null,null,null,null,null
1995-05-30,null,null,null,null,null,null
1995-05-31,null,null,null,null,null,null
1995-06-01,null,null,null,null,null,null
1995-06-02,null,null,null,null,null,null
1995-06-05,28.500000,28.500000,28.500000,28.500000,21.421875,0
1995-06-06,null,null,null,null,null,null
1995-06-07,null,null,null,null,null,null
1995-06-08,null,null,null,null,null,null
1995-06-09,null,null,null,null,null,null
1995-06-12,null,null,null,null,null,null
1995-06-13,null,null,null,null,null,null
1995-06-14,null,null,null,null,null,null
1995-06-15,28.500000,28.500000,28.500000,28.500000,21.421875,0
1995-06-16,null,null,null,null,null,null
1995-06-19,null,null,null,null,null,null
1995-06-20,null,null,null,null,null,null
1995-06-21,null,null,null,null,null,null
1995-06-22,null,null,null,null,null,null
1995-06-23,null,null,null,null,null,null
1995-06-26,29.500000,29.500000,29.500000,29.500000,22.173521,0
1995-06-27,null,null,null,null,null,null
1995-06-28,null,null,null,null,null,null
