Date,Open,High,Low,Close,Adj Close,Volume
1995-08-01,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-08-02,null,null,null,null,null,null
1995-08-03,11.812500,11.812500,11.812500,11.812500,6.651870,40000
1995-08-04,null,null,null,null,null,null
1995-08-07,null,null,null,null,null,null
1995-08-08,null,null,null,null,null,null
1995-08-09,null,null,null,null,null,null
1995-08-10,null,null,null,null,null,null
1995-08-11,11.687500,11.750000,11.687500,11.750000,6.616675,80000
1995-08-14,null,null,null,null,null,null
1995-08-15,null,null,null,null,null,null
1995-08-16,null,null,null,null,null,null
1995-08-17,null,null,null,null,null,null
1995-08-18,null,null,null,null,null,null
1995-08-21,null,null,null,null,null,null
1995-08-22,null,null,null,null,null,null
1995-08-23,null,null,null,null,null,null
1995-08-24,null,null,null,null,null,null
1995-08-25,null,null,null,null,null,null
1995-08-28,11.625000,11.625000,11.625000,11.625000,6.546285,0
1995-08-29,null,null,null,null,null,null
1995-08-30,null,null,null,null,null,null
1995-08-31,null,null,null,null,null,null
1995-09-01,null,null,null,null,null,null
1995-09-04,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-09-05,null,null,null,null,null,null
1995-09-06,11.875000,11.875000,11.875000,11.875000,6.687065,0
1995-09-07,12.000000,12.000000,12.000000,12.000000,6.757456,200000
1995-09-08,12.312500,12.312500,12.312500,12.312500,6.933431,320000
1995-09-11,12.312500,12.312500,12.312500,12.312500,6.933431,0
1995-09-12,12.312500,12.312500,12.312500,12.312500,6.933431,0
1995-09-13,null,null,null,null,null,null
1995-09-14,null,null,null,null,null,null
1995-09-15,12.312500,12.312500,12.312500,12.312500,6.933431,0
1995-09-18,12.312500,12.312500,12.312500,12.312500,6.933431,0
1995-09-19,12.312500,12.312500,12.312500,12.312500,6.933431,0
1995-09-20,null,null,null,null,null,null
1995-09-21,null,null,null,null,null,null
1995-09-22,null,null,null,null,null,null
1995-09-25,12.375000,12.375000,12.375000,12.375000,6.968626,0
1995-09-26,null,null,null,null,null,null
1995-09-27,null,null,null,null,null,null
1995-09-28,null,null,null,null,null,null
1995-09-29,null,null,null,null,null,null
1995-10-02,12.187500,12.187500,12.187500,12.187500,6.863040,0
1995-10-03,12.187500,12.187500,12.187500,12.187500,6.863040,0
1995-10-04,null,null,null,null,null,null
1995-10-05,null,null,null,null,null,null
1995-10-06,12.000000,12.000000,12.000000,12.000000,6.757456,0
1995-10-09,12.000000,12.000000,12.000000,12.000000,6.757456,0
1995-10-10,12.000000,12.000000,12.000000,12.000000,6.757456,0
1995-10-11,12.000000,12.000000,12.000000,12.000000,6.757456,0
1995-10-12,12.000000,12.000000,12.000000,12.000000,6.757456,0
1995-10-13,null,null,null,null,null,null
1995-10-16,12.187500,12.187500,12.187500,12.187500,6.863040,0
1995-10-17,null,null,null,null,null,null
1995-10-18,null,null,null,null,null,null
1995-10-19,null,null,null,null,null,null
1995-10-20,null,null,null,null,null,null
1995-10-23,12.062500,12.062500,12.062500,12.062500,6.792650,0
1995-10-24,12.062500,12.062500,12.062500,12.062500,6.792650,0
1995-10-25,null,null,null,null,null,null
1995-10-26,null,null,null,null,null,null
1995-10-27,11.937500,11.937500,11.937500,11.937500,6.722260,0
1995-10-30,11.937500,11.937500,11.937500,11.937500,6.722260,0
1995-10-31,null,null,null,null,null,null
1995-11-01,null,null,null,null,null,null
1995-11-02,11.875000,11.875000,11.875000,11.875000,6.687065,0
1995-11-03,null,null,null,null,null,null
1995-11-06,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-07,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-08,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-09,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-10,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-13,11.750000,11.750000,11.750000,11.750000,6.616675,0
1995-11-14,null,null,null,null,null,null
1995-11-15,11.937500,11.937500,11.937500,11.937500,6.722260,0
1995-11-16,null,null,null,null,null,null
1995-11-17,12.062500,12.062500,12.062500,12.062500,6.792650,10000
1995-11-20,12.062500,12.062500,12.062500,12.062500,6.792650,0
1995-11-21,12.062500,12.062500,12.062500,12.062500,6.792650,0
1995-11-22,12.062500,12.062500,12.062500,12.062500,6.792650,80000
